x_pixel,y_pixel,router1_2.4,router1_5,router2_2.4,router2_5,
546,121,-43,-19,-50,-51,-19
541,124,-38,-18,-53,-47,-18
533,129,-34,-17,-50,-50,-17
524,135,-33,-16,-44,-56,-16
516,141,-33,-15,-54,-56,-15
507,147,-30,-15,-55,-57,-15
499,153,-29,-16,-53,-57,-16
491,159,-28,-19,-46,-51,-19
482,166,-28,-17,-54,-53,-17
474,172,-26,-13,-47,-58,-13
465,178,-27,-13,-46,-59,-13
456,185,-27,-15,-49,-57,-15
448,193,-23,-15,-50,-60,-15
439,203,-22,-17,-51,-62,-17
430,211,-20,-15,-53,-60,-15
422,219,-21,-17,-53,-60,-17
413,227,-16,-21,-57,-66,-16
404,232,-20,-21,-51,-61,-20
395,237,-23,-21,-58,-63,-21
386,240,-28,-22,-59,-62,-22
377,243,-25,-19,-59,-61,-19
366,245,-25,-20,-60,-66,-20
355,245,-27,-22,-60,-66,-22
332,241,-35,-43,-43,-64,-35
318,230,-41,-39,-65,-69,-39
304,219,-45,-44,-61,-68,-44
295,203,-47,-46,-66,-67,-46
289,182,-43,-45,-64,-64,-43
280,163,-45,-48,-58,-64,-45
270,148,-42,-47,-63,-71,-42
259,132,-50,-50,-72,-66,-50
248,116,-48,-47,-63,-69,-47
236,105,-50,-52,-62,-69,-50
219,100,-51,-48,-61,-68,-48
207,102,-44,-48,-65,-73,-44
191,109,-50,-49,-61,-65,-49
179,114,-47,-50,-55,-64,-47
168,120,-48,-52,-63,-67,-48
157,127,-46,-48,-65,-60,-46
146,134,-42,-49,-60,-66,-42
135,141,-44,-48,-56,-67,-44
124,148,-45,-52,-61,-69,-45
118,158,-42,-51,-53,-70,-42
114,172,-45,-52,-62,-66,-45
112,185,-42,-51,-62,-69,-42
116,196,-49,-51,-64,-67,-49
120,204,-44,-49,-62,-64,-44
126,215,-49,-48,-61,-68,-48
132,226,-49,-46,-58,-63,-46
137,236,-42,-52,-55,-63,-42
143,247,-47,-45,-58,-64,-45
149,258,-51,-46,-54,-60,-46
155,268,-49,-50,-57,-63,-49
161,278,-47,-47,-59,-68,-47
167,289,-46,-42,-58,-61,-42
173,299,-49,-43,-62,-60,-43
179,309,-47,-40,-68,-61,-40
184,318,-46,-39,-61,-63,-39
190,328,-44,-36,-55,-60,-36
193,331,-47,-36,-63,-69,-36
196,335,-47,-32,-60,-66,-32
194,345,-44,-39,-62,-68,-39
183,354,-38,-37,-59,-66,-37
173,362,-40,-41,-58,-70,-40
163,369,-41,-45,-60,-65,-41
153,374,-40,-41,-58,-66,-40
143,379,-40,-45,-58,-63,-40
132,384,-45,-40,-58,-63,-40
121,389,-42,-40,-53,-63,-40
111,395,-47,-41,-53,-62,-41
100,402,-50,-41,-63,-62,-41
90,409,-41,-46,-58,-62,-41
80,414,-41,-44,-58,-62,-41
70,418,-41,-46,-54,-69,-41
59,422,-41,-49,-57,-70,-41
49,429,-41,-48,-61,-66,-41
31,460,-41,-43,-61,-68,-41
32,473,-41,-41,-57,-70,-41
34,485,-38,-44,-63,-69,-38
37,497,-40,-50,-62,-64,-40
42,509,-42,-46,-56,-69,-42
48,521,-40,-48,-65,-67,-40
53,529,-42,-50,-61,-68,-42
60,540,-45,-47,-53,-69,-45
66,548,-44,-45,-63,-68,-44
71,558,-40,-47,-54,-65,-40
77,568,-46,-48,-53,-65,-46
85,578,-44,-47,-61,-68,-44
92,588,-47,-46,-61,-74,-46
103,598,-43,-46,-54,-68,-43
118,603,-43,-44,-56,-69,-43
129,604,-42,-46,-61,-69,-42
141,602,-48,-44,-59,-68,-44
151,598,-49,-44,-64,-64,-44
161,592,-50,-45,-58,-70,-45
171,585,-48,-46,-59,-69,-46
181,579,-47,-43,-58,-70,-43
191,572,-46,-44,-66,-69,-44
201,564,-46,-48,-59,-71,-46
209,550,-47,-47,-59,-72,-47
200,529,-43,-55,-63,-69,-43
198,517,-49,-52,-66,-72,-49
203,497,-51,-44,-62,-74,-44
210,485,-44,-45,-64,-69,-44
215,480,-43,-46,-66,-72,-43
220,475,-46,-45,-70,-71,-45
229,469,-42,-47,-60,-68,-42
237,463,-44,-41,-67,-72,-41
247,457,-40,-39,-54,-70,-39
253,453,-48,-39,-56,-66,-39
258,450,-43,-38,-57,-59,-38
268,444,-37,-39,-52,-62,-37
277,438,-37,-44,-62,-62,-37
286,433,-41,-40,-55,-60,-40
296,426,-44,-39,-59,-64,-39
305,419,-39,-44,-62,-63,-39
314,414,-45,-39,-65,-63,-39
324,408,-37,-43,-62,-59,-37
335,401,-38,-42,-58,-58,-38
345,394,-36,-43,-60,-53,-36
351,392,-37,-45,-57,-54,-37
357,391,-40,-43,-52,-56,-40
363,400,-39,-45,-57,-52,-39
371,409,-38,-46,-60,-57,-38
380,414,-38,-48,-43,-55,-38
390,415,-40,-45,-56,-59,-40
396,414,-41,-50,-56,-60,-41
402,413,-41,-44,-55,-53,-41
413,407,-39,-45,-49,-57,-39
422,403,-38,-43,-60,-58,-38
433,398,-39,-48,-52,-63,-39
444,392,-38,-43,-58,-59,-38
454,385,-38,-46,-55,-54,-38
464,378,-40,-44,-56,-56,-40
473,370,-41,-45,-57,-61,-41
479,367,-37,-45,-50,-58,-37
484,363,-41,-43,-59,-58,-41
495,356,-41,-45,-50,-53,-41
503,351,-40,-45,-52,-55,-40
514,344,-41,-48,-57,-56,-41
519,340,-39,-48,-53,-51,-39
534,330,-41,-50,-45,-52,-41
543,323,-39,-49,-47,-51,-39
549,318,-41,-46,-45,-44,-41
554,315,-40,-43,-53,-44,-40
561,307,-41,-49,-48,-48,-41
568,297,-40,-53,-49,-50,-40
571,294,-40,-46,-53,-51,-40
573,290,-41,-45,-49,-52,-41
575,279,-39,-46,-44,-56,-39
575,277,-39,-49,-51,-55,-39
574,275,-37,-44,-56,-56,-37
572,273,-40,-46,-53,-51,-40
570,271,-40,-42,-55,-50,-40
567,268,-41,-45,-55,-49,-41
563,264,-38,-42,-47,-56,-38
555,262,-37,-42,-55,-56,-37
548,260,-36,-39,-45,-51,-36
537,257,-35,-34,-45,-48,-34
525,254,-37,-34,-44,-55,-34
