x_pixel,y_pixel,router1_2.4,router1_5,router2_2.4,router2_5,
510,253,-39,-38,-47,-61,-38
496,254,-40,-36,-47,-61,-36
480,256,-38,-38,-47,-52,-38
466,258,-38,-32,-47,-59,-32
453,260,-34,-30,-52,-50,-30
439,263,-36,-27,-53,-54,-27
428,267,-32,-21,-48,-59,-21
419,271,-29,-19,-46,-63,-19
418,275,-28,-20,-54,-55,-20
420,277,-29,-23,-53,-61,-23
421,282,-26,-27,-56,-57,-26
422,294,-26,-29,-56,-62,-26
421,305,-28,-37,-56,-61,-28
418,318,-28,-41,-51,-64,-28
413,327,-31,-38,-65,-63,-31
408,335,-28,-35,-57,-64,-28
399,344,-28,-27,-58,-60,-27
388,349,-28,-32,-62,-58,-28
376,350,-27,-27,-63,-65,-27
306,278,-30,-20,-54,-60,-20
297,268,-34,-26,-61,-66,-26
290,259,-41,-44,-59,-62,-41
282,249,-41,-46,-67,-65,-41
278,239,-42,-48,-64,-67,-42
271,228,-46,-47,-63,-66,-46
263,219,-44,-47,-66,-68,-44
255,209,-47,-46,-66,-67,-46
248,202,-45,-48,-59,-75,-45
240,193,-45,-46,-58,-66,-45
232,182,-46,-45,-59,-68,-45
220,174,-49,-53,-58,-64,-49
209,172,-43,-49,-66,-64,-43
198,172,-44,-49,-61,-66,-44
186,175,-45,-50,-50,-66,-45
176,181,-45,-45,-57,-64,-45
168,191,-48,-44,-59,-56,-44
162,217,-49,-44,-54,-60,-44
164,233,-46,-46,-63,-66,-46
169,244,-51,-43,-57,-55,-43
175,256,-45,-36,-56,-63,-36
181,267,-44,-38,-58,-60,-38
187,278,-37,-33,-58,-63,-33
194,288,-40,-33,-58,-65,-33
200,300,-40,-36,-59,-61,-36
207,321,-36,-36,-57,-65,-36
208,327,-41,-39,-54,-68,-39
210,332,-46,-41,-62,-68,-41
212,337,-40,-42,-67,-68,-40
214,342,-41,-41,-58,-65,-41
216,347,-47,-41,-61,-64,-41
217,352,-40,-45,-59,-62,-40
219,358,-39,-45,-62,-64,-39
220,363,-40,-45,-60,-65,-40
203,371,-40,-44,-55,-62,-40
175,380,-46,-40,-66,-66,-40
148,389,-41,-45,-65,-69,-41
120,398,-43,-40,-54,-70,-40
115,407,-39,-41,-65,-68,-39
111,416,-40,-41,-65,-68,-40
109,427,-31,-39,-58,-68,-31
109,439,-40,-41,-64,-70,-40
114,451,-42,-41,-60,-74,-41
122,460,-37,-41,-63,-69,-37
133,469,-40,-44,-69,-72,-40
145,473,-42,-40,-65,-68,-40
156,473,-23,-40,-58,-65,-23
169,470,-44,-41,-58,-62,-41
179,464,-42,-38,-60,-66,-38
188,458,-42,-38,-56,-67,-38
197,452,-45,-39,-60,-61,-39
206,442,-41,-39,-67,-61,-39
214,435,-44,-41,-63,-60,-41
222,427,-39,-41,-54,-63,-39
230,420,-41,-42,-61,-63,-41
239,414,-44,-39,-63,-57,-39
248,407,-40,-43,-59,-59,-40
258,400,-39,-43,-56,-61,-39
268,392,-39,-44,-55,-60,-39
277,386,-38,-45,-63,-55,-38
286,378,-39,-40,-53,-57,-39
294,371,-32,-40,-61,-54,-32
304,364,-31,-43,-65,-58,-31
315,358,-34,-43,-57,-58,-34
326,353,-32,-42,-60,-61,-32
337,347,-36,-42,-55,-60,-36
347,343,-36,-46,-60,-56,-36
358,338,-38,-45,-50,-54,-38
369,333,-38,-44,-59,-59,-38
380,328,-31,-43,-50,-65,-31
392,324,-32,-45,-51,-62,-32
403,319,-33,-44,-58,-53,-33
413,311,-32,-44,-53,-57,-32
424,304,-38,-46,-58,-56,-38
433,298,-40,-43,-56,-54,-40
444,291,-36,-43,-58,-53,-36
455,285,-39,-42,-47,-56,-39
463,277,-35,-44,-49,-49,-35
471,270,-38,-39,-57,-52,-38
480,263,-43,-40,-56,-53,-40
488,257,-40,-45,-57,-48,-40
499,250,-41,-47,-56,-56,-41
510,244,-39,-45,-54,-59,-39
521,238,-40,-43,-44,-51,-40
532,231,-41,-42,-54,-49,-41
542,225,-47,-41,-51,-51,-41
552,217,-40,-45,-53,-49,-40
560,210,-38,-42,-57,-56,-38
570,203,-39,-45,-53,-57,-39
580,196,-40,-47,-56,-52,-40
590,190,-37,-43,-50,-56,-37
600,182,-45,-40,-52,-57,-40
610,173,-43,-45,-55,-55,-43
612,170,-46,-42,-51,-54,-42
614,167,-43,-48,-57,-56,-43
616,165,-45,-45,-52,-58,-45
618,162,-50,-50,-56,-61,-50
621,158,-53,-52,-55,-60,-52
623,155,-51,-50,-60,-60,-50
625,152,-48,-49,-52,-56,-48
628,149,-53,-51,-58,-59,-51
630,147,-48,-51,-55,-56,-48
633,144,-47,-52,-56,-57,-47
635,142,-44,-51,-52,-58,-44
637,139,-53,-51,-61,-58,-51
640,136,-48,-53,-57,-62,-48
642,133,-46,-52,-58,-61,-46
644,131,-48,-50,-59,-63,-48
646,128,-45,-50,-59,-60,-45
648,126,-51,-49,-57,-61,-49
651,123,-42,-48,-54,-62,-42
653,120,-43,-47,-55,-58,-43
656,117,-45,-51,-53,-59,-45
660,114,-44,-53,-48,-61,-44
664,112,-43,-48,-60,-60,-43
668,111,-43,-49,-59,-61,-43
672,110,-43,-51,-57,-61,-43
676,108,-43,-53,-58,-63,-43
680,107,-46,-48,-59,-62,-46
703,111,-47,-52,-53,-61,-47
715,120,-49,-55,-55,-55,-49
723,130,-48,-51,-57,-59,-48
732,152,-48,-53,-60,-55,-48
742,175,-43,-55,-47,-57,-43
750,197,-45,-55,-54,-56,-45
759,217,-43,-55,-53,-60,-43
768,238,-48,-53,-56,-56,-48
776,261,-51,-58,-53,-53,-51
785,284,-47,-51,-51,-52,-47
798,331,-57,-54,-59,-47,-47
795,339,-49,-58,-54,-55,-49
781,346,-51,-57,-51,-53,-51
760,356,-46,-56,-47,-47,-46
749,369,-52,-58,-47,-53,-47
740,381,-44,-57,-49,-47,-44
733,393,-48,-53,-51,-46,-46
729,405,-46,-52,-47,-48,-46
723,417,-48,-61,-46,-51,-46
710,426,-54,-57,-44,-47,-44
688,430,-50,-56,-43,-46,-43
672,430,-46,-56,-34,-43,-34
652,427,-50,-63,-40,-44,-40
639,423,-49,-58,-36,-32,-32
627,419,-55,-59,-35,-31,-31
617,419,-52,-61,-30,-32,-30
606,422,-52,-64,-38,-31,-31
596,427,-52,-57,-41,-41,-41
588,438,-49,-60,-41,-43,-41
583,447,-53,-65,-43,-40,-40
578,460,-51,-66,-42,-41,-41
578,472,-50,-63,-36,-41,-36
581,483,-53,-63,-37,-42,-37
586,494,-65,-66,-41,-35,-35
591,506,-61,-64,-45,-40,-40
596,517,-57,-65,-38,-37,-37
602,526,-55,-60,-37,-38,-37
607,538,-58,-65,-41,-39,-39
612,549,-59,-64,-39,-39,-39
618,560,-53,-65,-40,-44,-40
623,570,-56,-65,-38,-44,-38
630,582,-54,-70,-39,-44,-39
636,593,-54,-60,-40,-43,-40
641,603,-61,-63,-39,-39,-39
647,615,-68,-65,-40,-38,-38
652,626,-60,-62,-47,-41,-41
659,637,-58,-67,-38,-44,-38
664,647,-64,-61,-39,-42,-39
670,657,-59,-61,-46,-41,-41
676,668,-62,-62,-46,-41,-41
682,678,-66,-64,-45,-40,-40
687,691,-59,-63,-40,-45,-40
694,702,-54,-67,-36,-43,-36
701,714,-56,-67,-34,-45,-34
708,726,-54,-62,-38,-34,-34
713,738,-59,-66,-41,-38,-38
719,750,-63,-65,-38,-41,-38
725,761,-63,-64,-44,-40,-40
729,773,-64,-68,-48,-40,-40
733,784,-62,-67,-38,-44,-38
739,794,-61,-67,-39,-44,-39
749,802,-62,-68,-43,-37,-37
758,804,-56,-62,-42,-39,-39
768,804,-56,-68,-40,-44,-40
780,800,-56,-68,-44,-41,-41
792,794,-60,-65,-39,-30,-30
803,788,-62,-62,-39,-28,-28
813,783,-56,-69,-44,-28,-28
825,777,-54,-63,-36,-28,-28
836,774,-57,-61,-41,-27,-27
847,772,-68,-64,-38,-18,-18
859,769,-63,-59,-40,-17,-17
870,765,-66,-64,-34,-19,-19
874,757,-62,-63,-32,-22,-22
872,746,-52,-57,-22,-17,-17
870,737,-53,-60,-24,-16,-16
868,726,-52,-65,-23,-13,-13
866,713,-57,-63,-20,-18,-18
864,701,-56,-61,-21,-20,-20
862,690,-59,-62,-19,-24,-19
860,679,-57,-57,-17,-23,-17
857,668,-53,-61,-15,-26,-15
853,656,-49,-57,-18,-31,-18
850,645,-46,-62,-17,-21,-17
846,633,-55,-56,-16,-22,-16
840,622,-57,-56,-25,-54,-25
836,611,-55,-58,-28,-23,-23
831,599,-49,-58,-30,-22,-22
826,588,-52,-60,-33,-23,-23
821,578,-58,-57,-41,-23,-23
816,565,-52,-60,-39,-25,-25
811,554,-57,-62,-35,-33,-33
806,544,-50,-52,-40,-32,-32
802,533,-49,-57,-37,-27,-27
798,522,-52,-53,-39,-29,-29
793,511,-49,-57,-38,-35,-35
786,501,-49,-56,-37,-35,-35
777,495,-46,-48,-44,-35,-35
765,492,-52,-54,-47,-35,-35
753,493,-55,-52,-46,-38,-38
741,496,-53,-53,-49,-37,-37
731,501,-49,-57,-49,-38,-38
719,506,-51,-60,-46,-35,-35
712,506,-47,-55,-41,-34,-34
705,548,-48,-56,-42,-33,-33
707,574,-49,-60,-43,-32,-32
716,578,-52,-57,-38,-41,-38
724,580,-52,-56,-35,-31,-31
734,584,-51,-58,-39,-32,-32
742,589,-56,-60,-40,-35,-35
749,594,-55,-61,-36,-30,-30
755,601,-56,-61,-36,-30,-30
760,610,-52,-63,-35,-31,-31
763,619,-57,-61,-30,-31,-30
765,628,-54,-64,-31,-29,-29
764,638,-61,-62,-30,-28,-28
763,647,-59,-65,-28,-23,-23
761,654,-54,-63,-25,-21,-21
758,662,-59,-63,-25,-20,-20
750,671,-50,-63,-25,-15,-15
742,676,-56,-63,-24,-16,-16
732,679,-56,-61,-27,-18,-18
723,681,-57,-66,-26,-18,-18
714,681,-61,-64,-27,-23,-23
707,678,-65,-64,-23,-25,-23
700,676,-56,-63,-31,-30,-30
693,670,-58,-66,-26,-36,-26
686,663,-52,-67,-30,-33,-30
682,654,-54,-66,-25,-35,-25
680,645,-56,-64,-28,-32,-28
680,635,-53,-64,-30,-29,-29
682,625,-49,-68,-31,-37,-31
682,620,-57,-66,-26,-39,-26
683,615,-54,-64,-30,-41,-30
683,610,-54,-60,-31,-38,-31
683,606,-55,-61,-36,-38,-36
682,602,-53,-58,-34,-41,-34
681,598,-59,-59,-26,-38,-26
680,593,-59,-58,-24,-38,-24
679,588,-50,-62,-27,-41,-27
679,583,-53,-61,-22,-40,-22
678,578,-56,-57,-27,-41,-27
677,574,-52,-57,-29,-44,-29
676,569,-53,-58,-29,-40,-29
674,564,-51,-54,-35,-37,-35
673,559,-52,-61,-33,-35,-33
672,554,-53,-65,-38,-36,-36
671,550,-51,-60,-39,-37,-37
670,545,-52,-61,-37,-39,-37
670,541,-54,-62,-40,-39,-39
668,536,-51,-57,-41,-36,-36
667,531,-59,-59,-38,-35,-35
666,526,-52,-62,-42,-39,-39
665,522,-54,-56,-38,-36,-36
664,517,-53,-59,-43,-35,-35
663,513,-52,-61,-47,-39,-39
663,509,-58,-56,-41,-36,-36
661,504,-53,-63,-46,-37,-37
660,499,-53,-57,-45,-38,-38
658,495,-51,-53,-41,-40,-40
656,490,-46,-55,-45,-40,-40
657,485,-47,-61,-40,-45,-40
657,479,-56,-59,-40,-45,-40
658,474,-50,-58,-37,-44,-37
658,469,-49,-60,-42,-37,-37
659,464,-49,-59,-33,-36,-33
659,459,-56,-61,-40,-36,-36
659,453,-50,-53,-44,-41,-41
660,442,-53,-60,-46,-43,-43
669,440,-50,-53,-40,-47,-40
677,438,-55,-54,-37,-49,-37
683,436,-47,-56,-47,-51,-47
688,434,-59,-57,-43,-50,-43
694,429,-59,-57,-47,-53,-47
705,418,-46,-50,-54,-56,-46
717,399,-47,-54,-45,-57,-45
730,381,-48,-60,-48,-57,-48
742,362,-46,-58,-54,-54,-46
756,341,-48,-55,-58,-54,-48
764,328,-51,-52,-56,-53,-51
769,317,-44,-55,-46,-54,-44
764,306,-45,-58,-53,-59,-45
761,297,-45,-53,-64,-61,-45
757,287,-43,-46,-56,-65,-43
753,277,-44,-48,-52,-58,-44
745,268,-46,-53,-62,-63,-46
729,262,-43,-48,-57,-58,-43
714,256,-43,-45,-60,-61,-43
698,250,-50,-43,-64,-56,-43
682,244,-47,-44,-55,-62,-44
667,238,-42,-47,-55,-60,-42
651,232,-43,-47,-54,-59,-43
636,226,-42,-46,-56,-59,-42
620,220,-45,-49,-60,-60,-45
