x_pixel,y_pixel,rssi
422,673,-46.1626269
422,672,-46.17989161
423,671,-46.19674608
424,671,-46.21323233
426,670,-46.22938138
427,669,-46.24521336
440,660,-46.26073833
442,660,-46.27595804
443,659,-46.29086873
444,658,-46.30546568
456,652,-46.31974955
460,651,-46.33373535
462,649,-46.34743427
463,649,-46.36085447
464,648,-46.37400178
466,649,-46.38688062
471,645,-46.39949485
472,645,-46.41184853
475,642,-46.42394651
476,642,-46.43579459
486,638,-46.4473991
486,638,-46.45876547
490,637,-46.46989859
491,637,-46.480803
495,635,-46.49148313
500,634,-46.50194338
515,631,-46.51218823
515,631,-46.5222222
522,630,-46.53204977
523,630,-46.54167529
526,629,-46.55110291
527,629,-46.56033665
533,629,-46.56938045
537,629,-46.5782382
539,627,-44
541,627,-44
549,627,-46
550,627,-46
551,627,-45
551,626,-45
553,626,-45
554,626,-46
562,625,-46
565,625,-46
567,624,-46
569,624,-46
570,624,-46
571,624,-46
573,625,-44
578,625,-44
580,624,-44
582,624,-44
584,625,-44
592,625,-44
593,625,-44
596,626,-47
601,627,-45
602,627,-45
604,627,-45
605,627,-45
606,627,-45
608,628,-45
609,628,-45
611,628,-45
617,628,-46
619,628,-46
633,627,-45
635,627,-46
645,626,-46
647,624,-46
648,624,-46
649,624,-46
653,623,-46
655,624,-46
657,624,-43
659,624,-43
662,623,-46
664,623,-43
668,624,-43
670,624,-43
684,622,-43
686,622,-43
692,622,-43
694,622,-42
694,622,-43
694,622,-46
693,622,-43
693,622,-45
693,622,-45
693,622,-45
693,623,-45
692,623,-45
692,623,-45
692,621,-46
692,619,-46
692,619,-46
691,611,-46
691,609,-46
691,608,-45
691,607,-45
690,602,-46
690,601,-45
690,598,-45
691,596,-45
690,592,-46
690,589,-46
688,586,-46
687,580,-46
687,578,-45
686,577,-45
684,564,-40
684,561,-41
683,556,-41
683,554,-41
684,548,-41
684,546,-41
683,531,-41
683,530,-41
682,525,-41
682,522,-44
682,521,-43
682,519,-43
681,518,-43
681,517,-43
680,511,-43
680,511,-43
679,510,-45
676,506,-46
674,501,-46
672,498,-46
672,499,-46
670,496,-46
667,492,-45.4
665,492,-45.64
665,490,-45.904
664,490,-46.1944
663,488,-46
660,486,-46
659,485,-46
659,484,-46
655,481,-46
652,480,-46
652,478,-46
651,476,-44
642,471,-44
641,469,-44
637,468,-44
629,466,-46
628,466,-45
626,466,-44
625,466,-44
624,466,-44
619,466,-44
616,465,-45
612,465,-44
611,465,-44
605,466,-40
601,466,-40
597,465,-40
596,466,-41
587,469,-41
586,470,-42
579,473,-46
578,473,-46
576,476,-46
575,477,-46
566,488,-46
566,488,-41
565,490,-41
565,492,-41
563,500,-41
561,503,-41
561,504,-41
560,506,-41
560,508,-41
560,511,-41
560,513,-42
560,515,-43
558,516,-46
558,520,-45
558,525,-43
557,527,-43
557,529,-43
557,531,-43
556,532,-43
555,536,-43
555,541,-43
553,544,-43
552,547,-46
552,549,-46
552,553,-45
551,555,-45
550,559,-45
550,560,-46
550,561,-46
550,563,-46
549,565,-43
549,567,-45
547,575,-41
547,577,-41
547,579,-41
545,580,-41
543,587,-41
543,588,-41
537,595,-41
537,596,-47
524,605,-45
522,606,-45
522,606,-43.2
520,607,-43.42
519,607,-43.662
517,607,-43.9282
512,610,-44.32102
511,609,-44.653122
508,610,-44.8184342
507,610,-44.60027762
499,612,-44.56030538
498,612,-44.51633592
482,614,-44.64796951
480,614,-44.77076646
478,614,-44.78164311
476,614,-44.76698742
470,614,-45.51158416
469,614,-45.59743038
465,615,-44.87533
463,615,-44.90283523
462,615,-45.13708822
461,615,-45.19916345
457,616,-44.85428284
454,616,-44.86263448
453,616,-44.87073362
446,617,-44.88110824
445,616,-45.41806065
443,616,-45.40012367
438,617,-44.95260304
436,617,-44.95757982
428,618,-44.93962898
426,619,-44.91367553
424,619,-44.9196148
420,619,-45.32531284
418,619,-45.37077076
417,619,-45.41973701
413,619,-45.41990465
412,619,-45.42188274
408,621,-45.46881071
405,620,-45.7199338
403,620,-45.79796428
401,620,-45.88639316
400,621,-45.983071
397,621,-46.04884681
395,621,-46.21665442
391,621,-46.29634616
387,621,-46.38399031
385,621,-46.48020106
379,622,-46.5813401
378,622,-46.76748073
368,622,-46.66443237
366,622,-46.7422363
360,623,-46.21815283
358,622,-46.23508343
354,624,-46.23692633
350,624,-46.63098435
337,625,-46.65568375
334,624,-46.67323202
331,624,-46.68242121
330,624,-46.67391526
326,626,-46.67486355
325,626,-47.26812627
320,625,-47.27312362
318,625,-47.37692763
316,626,-47.49092776
314,626,-47.57692211
308,626,-47.46904594
306,626,-47.54862733
297,627,-47.63524795
296,627,-47.73138122
293,627,-48.03703298
289,626,-48.11392365
288,627,-48.19800366
287,627,-48.28011126
284,627,-48.25902961
284,627,-48.32724036
284,627,-48.4130598
284,627,-48.49950305
283,627,-48.58592856
281,627,-48.77138329
277,625,-48.84481832
277,625,-48.91790779
277,625,-48.98989821
276,625,-49.0608769
275,625,-48.54106163
273,625,-48.56244376
272,623,-48.57738215
271,623,-48.58517006
268,623,-48.58509421
267,622,-48.6664653
263,622,-48.64863
261,622,-48.62170222
251,624,-48.88488262
248,625,-48.8672832
248,625,-48.89990535
248,625,-48.93365151
248,625,-48.86927845
248,625,-48.89768929
248,625,-48.92894879
247,624,-48.95519714
247,623,-48.98585386
247,621,-49.02226902
246,619,-49.23600766
246,617,-49.27288011
245,615,-49.31017758
243,612,-49.34783019
243,611,-49.39568536
244,604,-49.54548497
245,597,-49.60713859
245,596,-49.67233273
245,595,-49.74098062
247,593,-49.81285178
247,592,-49.67053619
247,591,-49.7103018
247,589,-49.75031423
248,588,-49.79056263
248,587,-49.83005036
249,585,-50.15850689
252,583,-50.21364372
252,581,-50.26777482
258,574,-50.32045424
261,573,-50.37121449
264,571,-50.44128232
267,570,-50.51438037
269,569,-50.59078698
270,569,-50.77080942
273,567,-50.86488533
273,567,-50.93552317
274,566,-51.00771111
278,563,-51.08170474
279,563,-51.15782979
281,563,-50.93649132
282,563,-50.98601222
282,561,-51.03317541
