x_pixel,y_pixel,router1_2.4,router1_5,router2_2.4,router2_5,
286,561,-41,-48,-39,-40,-39
291,559,-44,-42,-43,-37,-37
303,556,-49,-41,-44,-38,-38
315,549,-46,-44,-38,-42,-38
324,541,-39,-39,-35,-44,-35
332,536,-45,-43,-41,-44,-41
340,532,-41,-40,-39,-44,-39
346,528,-46,-42,-43,-40,-40
358,523,-54,-42,-40,-47,-40
373,515,-47,-44,-38,-42,-38
382,511,-42,-46,-34,-48,-34
391,506,-46,-43,-38,-47,-38
399,495,-44,-40,-45,-45,-40
404,484,-47,-49,-41,-44,-41
408,477,-49,-46,-40,-48,-40
411,455,-39,-45,-35,-40,-35
408,446,-47,-48,-37,-40,-37
407,439,-50,-46,-43,-38,-38
404,426,-51,-45,-37,-42,-37
402,418,-50,-47,-33,-38,-33
394,389,-46,-48,-39,-39,-39
393,382,-51,-48,-33,-47,-33
391,370,-50,-50,-40,-40,-40
399,367,-49,-50,-30,-42,-30
403,366,-50,-49,-31,-46,-31
408,365,-53,-50,-33,-45,-33
412,364,-52,-51,-34,-46,-34
418,364,-49,-51,-35,-44,-35
425,365,-46,-52,-37,-42,-37
432,366,-53,-53,-37,-46,-37
439,367,-53,-52,-40,-46,-40
447,384,-55,-49,-40,-46,-40
451,395,-51,-52,-37,-43,-37
457,405,-45,-51,-43,-45,-43
462,411,-52,-48,-45,-47,-45
481,421,-56,-51,-46,-46,-46
501,428,-50,-52,-43,-49,-43
510,429,-50,-51,-44,-51,-44
515,428,-52,-50,-45,-48,-45
522,428,-48,-46,-45,-51,-45
529,428,-51,-51,-42,-51,-42
543,424,-46,-56,-47,-51,-46
551,421,-50,-47,-51,-47,-47
558,419,-50,-49,-44,-45,-44
567,419,-50,-52,-46,-46,-46
580,416,-48,-48,-47,-45,-45
595,412,-52,-54,-47,-43,-43
598,407,-52,-53,-45,-54,-45
600,401,-52,-54,-43,-48,-43
596,392,-55,-53,-42,-47,-42
584,382,-44,-53,-43,-42,-42
569,376,-47,-54,-45,-41,-41
554,377,-52,-47,-44,-42,-42
536,380,-48,-48,-48,-39,-39
504,382,-42,-52,-48,-44,-42
481,379,-43,-48,-44,-44,-43
467,363,-52,-53,-45,-40,-40
465,354,-54,-48,-34,-44,-34
475,344,-49,-53,-38,-46,-38
490,336,-52,-52,-45,-41,-41
507,333,-53,-52,-40,-46,-40
518,331,-51,-51,-41,-47,-41
530,330,-55,-56,-38,-41,-38
538,328,-52,-53,-40,-44,-40
553,326,-58,-52,-39,-47,-39
565,320,-44,-52,-40,-47,-40
569,317,-53,-53,-44,-51,-44
562,305,-55,-54,-42,-57,-42
553,291,-48,-53,-43,-46,-43
543,282,-53,-51,-44,-52,-44
533,281,-48,-53,-41,-51,-41
526,282,-45,-51,-39,-48,-39
516,285,-45,-47,-40,-45,-40
512,290,-45,-44,-36,-47,-36
503,302,-50,-47,-40,-46,-40
496,313,-48,-48,-38,-44,-38
487,326,-47,-48,-41,-40,-40
478,330,-41,-50,-40,-40,-40
464,333,-48,-49,-38,-45,-38
447,335,-46,-48,-41,-43,-41
429,329,-52,-51,-35,-45,-35
408,326,-43,-49,-39,-43,-39
384,322,-46,-47,-35,-43,-35
364,313,-46,-48,-37,-42,-37
357,305,-42,-53,-35,-40,-35
354,299,-56,-53,-41,-43,-41
353,292,-44,-57,-35,-40,-35
352,281,-45,-52,-41,-40,-40
351,273,-42,-52,-39,-40,-39
340,272,-45,-54,-39,-42,-39
318,275,-46,-51,-39,-42,-39
300,274,-55,-51,-39,-44,-39
286,275,-42,-53,-36,-39,-36
264,273,-47,-50,-34,-43,-34
245,272,-44,-52,-32,-46,-32
222,268,-50,-54,-23,-40,-23
217,262,-49,-49,-28,-42,-28
214,254,-54,-49,-26,-47,-26
211,244,-46,-51,-22,-40,-22
208,237,-50,-54,-19,-36,-19
204,224,-45,-51,-18,-30,-18
205,218,-53,-56,-18,-18,-18
203,221,-50,-54,-26,-26,-26
204,219,-44,-51,-24,-23,-23
206,218,-50,-50,-28,-25,-25
210,217,-45,-56,-29,-29,-29
214,217,-49,-54,-30,-32,-30
219,216,-45,-55,-30,-33,-30
234,214,-50,-49,-28,-33,-28
248,212,-52,-51,-31,-34,-31
254,213,-41,-46,-32,-38,-32
269,213,-44,-45,-38,-38,-38
278,214,-53,-48,-41,-43,-41
286,214,-51,-45,-41,-41,-41
295,216,-43,-48,-37,-40,-37
312,220,-46,-47,-39,-42,-39
323,223,-45,-50,-40,-44,-40
333,225,-57,-55,-44,-47,-44
348,229,-50,-52,-43,-47,-43
365,230,-59,-56,-42,-44,-42
402,235,-50,-59,-42,-46,-42
412,236,-57,-57,-43,-50,-43
425,244,-53,-57,-44,-46,-44
440,251,-59,-57,-46,-44,-44
458,252,-61,-63,-47,-49,-47
474,246,-53,-61,-44,-48,-44
484,237,-53,-60,-44,-46,-44
486,217,-53,-63,-55,-47,-47
484,207,-57,-60,-43,-49,-43
483,202,-55,-59,-42,-50,-42
482,196,-53,-60,-43,-48,-43
481,190,-53,-66,-49,-44,-44
480,183,-50,-65,-44,-47,-44
479,178,-59,-59,-44,-41,-41
478,174,-49,-60,-44,-49,-44
484,207,-59,-60,-42,-47,-42
476,160,-54,-60,-42,-45,-42
466,108,-55,-60,-41,-47,-41
458,69,-55,-61,-40,-47,-40
427,49,-54,-62,-38,-43,-38
403,52,-50,-55,-40,-40,-40
393,54,-55,-57,-37,-40,-37
383,55,-53,-58,-39,-37,-37
371,56,-47,-53,-37,-39,-37
365,56,-49,-54,-39,-45,-39
354,58,-50,-53,-39,-37,-37
343,59,-49,-48,-47,-39,-39
329,61,-52,-50,-34,-37,-34
313,62,-48,-52,-41,-37,-37
297,63,-45,-49,-44,-35,-35
288,64,-44,-52,-44,-32,-32
283,64,-42,-51,-34,-33,-33
260,66,-42,-50,-42,-33,-33
240,67,-48,-51,-39,-34,-34
226,68,-50,-52,-37,-34,-34
223,69,-40,-50,-42,-35,-35
208,75,-41,-51,-33,-34,-33
198,80,-47,-53,-36,-31,-31
193,84,-38,-49,-37,-31,-31
183,94,-43,-50,-38,-30,-30
179,99,-53,-48,-35,-32,-32
176,106,-48,-47,-29,-31,-29
176,108,-47,-48,-41,-30,-30
182,117,-49,-49,-40,-26,-26
198,129,-54,-45,-36,-34,-34
222,140,-51,-48,-36,-35,-35
234,139,-43,-47,-31,-42,-31
246,138,-53,-50,-37,-40,-37
262,137,-55,-51,-41,-43,-41
275,137,-42,-51,-41,-40,-40
291,135,-54,-51,-49,-41,-41
302,136,-48,-49,-43,-39,-39
319,134,-52,-51,-33,-44,-33
331,133,-47,-54,-37,-46,-37
